cluster,ANGOLA,ARGENTINA,AUSTRALIA,BAHRAIN,BANGLADESH,BELGIUM,BRUNEI DARUSSALAM,CAMBODIA,CANADA,CHINA,EGYPT,FRANCE,GUINEA,HONG KONG,INDIA,INDONESIA,"IRAN, ISLAMIC REPUBLIC OF",IRELAND,ITALY,JAPAN,JORDAN,"KOREA, REPUBLIC OF",LAO PEOPLE'S DEMOCRATIC REPUBLIC,MACAO,MALAYSIA,MALI,MONGOLIA,MYANMAR,NEPAL,NETHERLANDS,NEW ZEALAND,OMAN,PAKISTAN,PAPUA NEW GUINEA,PHILIPPINES,SINGAPORE,SRI LANKA,SWEDEN,SWITZERLAND,"TAIWAN, PROVINCE OF CHINA",THAILAND,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED STATES,VIET NAM
0,0,0,30,0,0,0,25,7,0,100,0,0,0,63,8,83,0,1,0,45,2,39,1,1,114,0,0,16,0,0,4,0,0,0,79,253,5,0,0,28,199,3,1,0,17
1,1,1,15,0,4,0,129,12,0,192,0,0,0,115,23,161,0,0,0,11,0,22,5,5,199,0,0,67,1,0,2,0,1,0,87,1812,6,1,1,34,231,2,0,0,65
2,0,0,24,2,4,1,130,16,0,246,1,0,0,151,26,166,1,0,0,17,0,15,5,8,271,0,0,27,0,2,2,0,0,0,107,676,15,0,0,37,369,11,1,0,83
3,0,0,44,0,0,0,32,2,2,207,0,1,1,90,19,110,0,1,1,58,0,68,1,3,65,1,1,28,1,0,3,1,0,1,82,991,7,0,1,35,132,5,0,5,22
